Species,Island,Sex,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g)
Gentoo Penguin,Biscoe,MALE,48.9,17.2,212,5095
Adelie Penguin,Dream,FEMALE,42.5,18.6,207,4275
Adelie Penguin,Biscoe,MALE,40.6,17.7,184,3775
Chinstrap Penguin,Dream,MALE,42.0,17.6,193,4950
Gentoo Penguin,Biscoe,FEMALE,45.0,14.7,205,3330
Adelie Penguin,Biscoe,MALE,37.6,18.7,194,3355
Adelie Penguin,Dream,MALE,47.0,19.2,184,3945
Gentoo Penguin,Biscoe,MALE,40.7,16.7,193,4435
Chinstrap Penguin,Dream,FEMALE,41.5,19.2,177,3560
Gentoo Penguin,Biscoe,MALE,54.1,17.4,227,5725
Adelie Penguin,Dream,FEMALE,39.3,18.4,195,3050
Chinstrap Penguin,Dream,FEMALE,43.1,14.3,221,4090
Adelie Penguin,Dream,MALE,37.4,18.0,175,3165
Adelie Penguin,Biscoe,FEMALE,36.1,18.5,199,4235
Adelie Penguin,Dream,FEMALE,42.6,19.3,186,3565
Adelie Penguin,Biscoe,FEMALE,34.4,19.4,177,4275
Gentoo Penguin,Biscoe,MALE,49.9,17.1,215,6005
Gentoo Penguin,Torgersen,FEMALE,47.5,15.2,208,6210
Gentoo Penguin,Torgersen,FEMALE,51.4,17.1,190,4220
Adelie Penguin,Dream,FEMALE,46.5,18.9,188,3600
Gentoo Penguin,Biscoe,FEMALE,41.6,13.6,230,4500
Adelie Penguin,Biscoe,MALE,39.5,16.4,177,3650
Adelie Penguin,Dream,FEMALE,37.0,20.5,197,3595
Adelie Penguin,Dream,MALE,49.1,15.9,221,5665
Adelie Penguin,Dream,MALE,42.3,15.7,186,5050
Adelie Penguin,Biscoe,MALE,54.6,15.6,226,4935
Gentoo Penguin,Dream,MALE,49.1,15.7,223,4645
Chinstrap Penguin,Torgersen,FEMALE,44.0,18.2,201,3970
Gentoo Penguin,Dream,FEMALE,42.1,14.3,176,3075
Gentoo Penguin,Biscoe,FEMALE,44.7,14.1,212,4390
Adelie Penguin,Dream,FEMALE,34.9,20.1,173,3085
Adelie Penguin,Biscoe,MALE,46.5,18.6,189,3815
Gentoo Penguin,Dream,FEMALE,46.9,16.4,209,3890
Gentoo Penguin,Biscoe,FEMALE,51.5,15.4,187,3500
Adelie Penguin,Biscoe,FEMALE,36.9,16.6,191,3260
Adelie Penguin,Torgersen,MALE,35.4,19.9,191,4110
Gentoo Penguin,Biscoe,FEMALE,49.3,17.6,219,4750
Adelie Penguin,Torgersen,FEMALE,36.1,18.8,181,3360
Adelie Penguin,Biscoe,MALE,43.8,16.4,228,5330
Gentoo Penguin,Biscoe,FEMALE,43.2,14.1,206,4480
Adelie Penguin,Torgersen,FEMALE,40.3,16.1,179,3325
Gentoo Penguin,Biscoe,FEMALE,46.0,13.6,229,4885
Adelie Penguin,Dream,FEMALE,43.1,16.2,212,4085
Adelie Penguin,Dream,MALE,44.9,18.7,219,5210
Adelie Penguin,Biscoe,MALE,43.5,16.7,206,4190
Gentoo Penguin,Torgersen,MALE,48.8,18.4,220,5540
Gentoo Penguin,Dream,FEMALE,47.3,13.4,182,4070
Adelie Penguin,Biscoe,FEMALE,39.4,18.0,201,3710
Adelie Penguin,Biscoe,MALE,44.4,20.2,180,3370
Adelie Penguin,Dream,MALE,40.2,18.4,175,3625
Gentoo Penguin,Biscoe,FEMALE,42.1,14.2,177,3680
Adelie Penguin,Dream,MALE,52.6,19.3,213,4720
Gentoo Penguin,Biscoe,FEMALE,43.7,15.2,219,4695
Gentoo Penguin,Biscoe,MALE,39.0,19.4,210,4005
Gentoo Penguin,Dream,FEMALE,45.6,13.9,211,4030
Adelie Penguin,Biscoe,MALE,41.3,16.3,199,4485
Gentoo Penguin,Biscoe,FEMALE,40.5,14.1,192,3710
Chinstrap Penguin,Dream,FEMALE,50.2,15.9,189,3635
Adelie Penguin,Biscoe,FEMALE,51.3,17.6,214,4895
Adelie Penguin,Biscoe,MALE,39.8,19.4,193,3280
Gentoo Penguin,Biscoe,FEMALE,40.5,15.9,190,3140
Adelie Penguin,Torgersen,MALE,45.2,18.5,197,3605
Gentoo Penguin,Torgersen,MALE,47.3,13.8,213,5630
Gentoo Penguin,Biscoe,MALE,50.6,18.3,198,3975
Gentoo Penguin,Biscoe,MALE,52.6,14.0,231,5860
Adelie Penguin,Biscoe,FEMALE,33.0,20.0,177,3385
Adelie Penguin,Torgersen,MALE,32.7,20.5,173,3520
Chinstrap Penguin,Dream,MALE,43.2,14.8,209,4970
Adelie Penguin,Biscoe,FEMALE,46.7,20.0,187,4310
Gentoo Penguin,Biscoe,MALE,40.8,16.1,195,4125
Chinstrap Penguin,Biscoe,MALE,47.2,14.6,231,5165
Chinstrap Penguin,Biscoe,MALE,42.0,14.7,203,3950
Adelie Penguin,Biscoe,MALE,35.7,20.9,173,3740
Adelie Penguin,Torgersen,FEMALE,36.2,16.8,181,3255
Gentoo Penguin,Dream,MALE,52.2,17.9,220,5625
Gentoo Penguin,Biscoe,MALE,48.0,16.6,201,4340
Gentoo Penguin,Biscoe,MALE,49.9,14.6,227,5615
Adelie Penguin,Torgersen,FEMALE,43.0,15.1,199,3645
Chinstrap Penguin,Biscoe,MALE,44.9,19.3,196,4300
Chinstrap Penguin,Biscoe,FEMALE,39.2,16.6,186,3390
Gentoo Penguin,Biscoe,MALE,56.1,16.9,231,5750
Adelie Penguin,Biscoe,MALE,45.1,17.7,213,5090
Adelie Penguin,Biscoe,FEMALE,39.8,16.3,190,3565
Gentoo Penguin,Torgersen,FEMALE,39.8,17.5,224,4695
Adelie Penguin,Dream,FEMALE,36.4,18.9,174,3080
Gentoo Penguin,Dream,FEMALE,42.6,14.4,221,5975
Adelie Penguin,Biscoe,MALE,42.0,17.8,216,4575
Adelie Penguin,Biscoe,FEMALE,38.6,17.9,205,4450
Adelie Penguin,Torgersen,FEMALE,37.6,17.2,176,3145
Adelie Penguin,Torgersen,MALE,43.0,20.9,178,3495
Chinstrap Penguin,Torgersen,FEMALE,46.7,17.5,219,5740
